'MMM',
'AXP',
'AAPL',
'BA',
'CAT',
'CVX',
'CSCO',
'KO',
'DD',
'XOM',
'GE',
'GS',
'HD',
'INTC',
'IBM',
'JNJ',
'JPM',
'MCD',
'MRK',
'MSFT',
'NKE',
'PFE',
'PG',
'TRV',
'UTX',
'UNH',
'VZ',
'V',
'WMT',
'DIS',
